assists,dBNOs,damageDealt,kills,revives,wins,roundsPlayed,playerId,playerName,level,predictedRating,17dmg_to_1lvl,5dmg_to_1lvl
0.2738336713995943,0.7565922920892495,120.42012494929006,0.8884381338742393,0.4198782961460446,0.050709939148073,493,account.af7aa7d05f4b460bb761b618120e2d7b,Sharkologia,124,373.780422970197,440.1070712899961,363.05031237322515
0.3497854077253219,0.8261802575107297,153.33839072961374,0.8304721030042919,0.1287553648068669,0.0300429184549356,233,account.8be9180eb1934cd2982d8a9ae22fe11c,60M_6EP,238,241.9607021839253,578.1506390876666,502.3459768240343
0.2680722891566265,0.5301204819277109,93.15679969879518,0.5406626506024096,0.2409638554216867,0.0481927710843373,332,account.0b4c03db81414215b0ba16601c8a6bd3,RoninKraken1703,98,65.29575789848047,340.92521604220303,281.89199924698795
0.441351888667992,1.128230616302187,209.5726083499005,1.2266401590457257,0.2803180914512923,0.0725646123260437,503,account.772830632ea24f458dd8b02e735af304,dallas1995,414,762.8590186745997,809.8198052811301,730.9315208747512
0.3858267716535433,1.5275590551181102,221.1620464409449,1.2125984251968505,0.4251968503937008,0.0314960629921259,127,account.ff3850a8cdbb42269a8704805c4044af,kickmehorse,356,622.195640045018,836.692852168153,730.9051161023622
0.0952380952380952,0.1333333333333333,21.22159685714286,0.0476190476190476,0.3047619047619048,0.019047619047619,105,account.0a63bc334dd140668da6652cdab6a17e,KeyLanaBanana,50,-268.95945589085056,83.79186933401513,78.05399214285714
0.5129310344827587,1.2952586206896552,252.1892092672414,1.2435344827586208,0.2586206896551724,0.084051724137931,232,account.9524c9f544aa440b94977d1d827cfaba,hiles8,561,863.2201192380443,988.4037242710383,910.9730231681035
0.330520393811533,1.1638537271448663,192.8558389592124,1.1371308016877637,0.459915611814346,0.0499296765119549,711,account.f067ca6ed7a34af6aceabc99da10eeb8,TesSsarion,313,796.9708568255822,730.1734156529253,638.639597398031
0.3135593220338983,1.4872881355932204,281.59892521186435,2.0233050847457625,0.3050847457627119,0.0338983050847457,236,account.1171bda1d5854d01b5c297d504bf3227,kotee228,852,1224.1732962000542,1153.6126431656623,1129.9973130296607
0.4065040650406504,1.5691056910569106,233.83303642276425,1.7317073170731707,0.3252032520325203,0.056910569105691,123,account.30d8e96863de4d03a7ed25b25c082018,rdFelixArgyle,97,500.08145092893153,822.7700863355853,633.0825910569106
0.4925373134328358,1.0597014925373134,185.5392985074627,1.2537313432835822,0.2985074626865671,0.1791044776119403,67,account.126767b081e444f0b8e87f6ddf9f4650,NE_SOLI,48,300.011933440651,646.4293950750028,487.84824626865674
0.5202312138728323,0.8757225433526011,185.3350994797688,1.1589595375722543,0.3641618497109826,0.0462427745664739,173,account.4bcd45f6683d42a6b10776b01f4f5d3b,kingilyaa,334,687.4375907452012,709.0509769425416,630.337748699422
0.4548611111111111,1.2881944444444444,206.5906708333333,1.2083333333333333,0.2881944444444444,0.0381944444444444,288,account.a0c7ca8388a44dcab8347ea04e0a026e,wisdm,249,547.946082134847,763.0698319328709,640.9766770833332
0.4756493506493506,0.926948051948052,163.2166251623377,0.9074675324675324,0.3766233766233766,0.0259740259740259,308,account.9c7fe3ef8d664b38a98546205063357d,TonyKotana,164,489.99276940955394,595.6173185921205,490.0415629058442
