playerName,playerId,level,damageDealt_normal,roundsPlayed_normal,damageDealt_ranked,roundsPlayed_ranked,solo_rating
poezd228,account.9d6dfdcc0dbb4a259c59bab792637ca1,130.0,117.44256858168761,557.0,0.0,0.0,431.2320652209834
zme1kobra,account.fc3a3ee002f64894a45aa5b64038b09d,82.0,104.24579333333332,15.0,0.0,0.0,375.38228681492865
Pate1k0,account.02aa9063314a4b3ebd307238e9e9d08d,44.0,141.62218048780488,82.0,0.0,0.0,495.0495556476733
mousemman,account.f914eed8e67b41b6a8724e5008e2a3a5,130.0,200.83434547727273,44.0,0.0,0.0,716.9971956194339
RedShanks95_TV,account.42cebc62138142dabd34585ef002227d,2500.0,217.7234055555556,90.0,174.8506753488372,43.0,1300.528511817291
Sasavotik__223,account.bc5bcf09458a4a5c8a15bebe6bcc916d,157.0,179.91445714285715,350.0,138.12724623115577,199.0,642.2751212734137
CummDog,account.6f30e8f89abc474bbc45af5b238d0570,222.0,140.91036210163654,1161.0,0.0,0.0,532.0200885911452
Jul1us_NM,account.9ce08b42b3844c47891b8ce01db18da4,193.0,234.90936575342465,511.0,77.97241666666666,6.0,842.247109380737
