playerId,level,assists_normal,dBNOs_normal,damageDealt_normal,kills_normal,revives_normal,wins_normal,roundsPlayed_normal,assists_ranked,dBNOs_ranked,damageDealt_ranked,kills_ranked,revives_ranked,wins_ranked,roundsPlayed_ranked
account.af7aa7d05f4b460bb761b618120e2d7b,124,0.2727272727272727,0.7555555555555555,120.18823555555556,0.8868686868686869,0.41818181818181815,0.050505050505050504,495,0.0,0.0,0.0,0.0,0.0,0.0,0
account.8be9180eb1934cd2982d8a9ae22fe11c,238,0.2617801047120419,0.7643979057591623,133.01435151832462,0.7539267015706806,0.15706806282722513,0.005235602094240838,191,0.5,0.7380952380952381,163.84291904761903,0.7857142857142857,0.0,0.09523809523809523,42
account.0b4c03db81414215b0ba16601c8a6bd3,101,0.2911392405063291,0.5632911392405063,96.86932120253165,0.5822784810126582,0.2689873417721519,0.04746835443037975,316,0.09090909090909091,0.18181818181818182,51.48685454545455,0.13636363636363635,0.0,0.09090909090909091,22
account.772830632ea24f458dd8b02e735af304,416,0.44713656387665196,1.105726872246696,205.46588546255506,1.2621145374449338,0.31497797356828194,0.06387665198237885,454,0.22950819672131148,0.8032786885245902,149.2989180327869,0.5573770491803278,0.0,0.08196721311475409,61
account.ff3850a8cdbb42269a8704805c4044af,360,0.3591549295774648,1.4929577464788732,216.44500632394366,1.1971830985915493,0.4084507042253521,0.035211267605633804,142,0.0,0.0,0.0,0.0,0.0,0.0,0
account.0a63bc334dd140668da6652cdab6a17e,50,0.09523809523809523,0.13333333333333333,21.22159685714286,0.047619047619047616,0.3047619047619048,0.01904761904761905,105,0.0,0.0,0.0,0.0,0.0,0.0,0
account.9524c9f544aa440b94977d1d827cfaba,566,0.43333333333333335,1.3333333333333333,246.5509142857143,1.3047619047619048,0.29523809523809524,0.07142857142857142,210,0.6,0.525,162.647279,0.4,0.0,0.075,40
account.f067ca6ed7a34af6aceabc99da10eeb8,313,0.3303303303303303,1.1636636636636637,193.71063213213213,1.1531531531531531,0.49099099099099097,0.046546546546546545,666,0.2222222222222222,0.7777777777777778,120.1366,0.6,0.0,0.06666666666666667,45
account.1171bda1d5854d01b5c297d504bf3227,861,0.32270916334661354,1.50199203187251,282.8358804780877,2.0318725099601593,0.3386454183266932,0.03187250996015936,251,0.0,0.8,101.77379333333333,0.4666666666666667,0.0,0.0,15
account.30d8e96863de4d03a7ed25b25c082018,97,0.4065040650406504,1.5691056910569106,233.83303642276425,1.7317073170731707,0.3252032520325203,0.056910569105691054,123,0.0,0.0,0.0,0.0,0.0,0.0,0
account.126767b081e444f0b8e87f6ddf9f4650,52,0.4470588235294118,0.9411764705882353,171.54526470588235,1.1176470588235294,0.2823529411764706,0.16470588235294117,85,0.0,0.0,0.0,0.0,0.0,0.0,0
account.4bcd45f6683d42a6b10776b01f4f5d3b,334,0.5398773006134969,0.8773006134969326,189.28540368098157,1.2147239263803682,0.3987730061349693,0.049079754601226995,163,0.18181818181818182,0.6363636363636364,119.97886363636363,0.45454545454545453,0.0,0.0,11
account.a0c7ca8388a44dcab8347ea04e0a026e,249,0.4548611111111111,1.2881944444444444,206.59067083333335,1.2083333333333333,0.2881944444444444,0.03819444444444445,288,0.0,0.0,0.0,0.0,0.0,0.0,0
account.9c7fe3ef8d664b38a98546205063357d,164,0.48333333333333334,0.9366666666666666,165.303502,0.9166666666666666,0.38666666666666666,0.02666666666666667,300,0.125,0.375,56.6391625,0.375,0.0,0.0,8
account.ad5ce74144584854ae271fa6731d03c6,334,0.28482003129890454,1.0438184663536776,176.1160594679186,1.0688575899843507,0.3677621283255086,0.012519561815336464,639,0.0,0.0,0.0,0.0,0.0,0.0,0
account.0a0f5a8b434c402c932961dd8ca2603e,85,0.4318181818181818,0.8560606060606061,125.6220962121212,0.9242424242424242,0.3787878787878788,0.045454545454545456,132,0.0,0.0,0.0,0.0,0.0,0.0,0
account.a20ed9eab5a246338cbb6c45dc6f4530,33,0.0,1.0,254.9295,2.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0
account.c6a674b4e64a427fb3cad5eb3f11caf3,77,0.2364341085271318,0.9767441860465116,161.42793294573644,1.1472868217054264,0.31007751937984496,0.007751937984496124,258,0.0,0.0,0.0,0.0,0.0,0.0,0
account.0a16680b3164413f900adc9227d0623e,449,0.4382077794190054,1.3126538650910882,206.1976918759232,1.2171344165435747,0.690792712949286,0.07336287543082226,2031,0.0,0.0,0.0,0.0,0.0,0.0,0
account.3d7aed5e7e9144059813a5b3e98433a8,207,0.28927911275415896,0.5462107208872459,82.74542421441774,0.5600739371534196,0.30591497227356745,0.06746765249537892,1082,0.0,0.0,0.0,0.0,0.0,0.0,0
account.2a85808febba4a4a9e30f0d8926a9abb,88,0.24742268041237114,0.38144329896907214,66.51442835051546,0.35051546391752575,0.4587628865979381,0.08247422680412371,194,0.0,0.0,0.0,0.0,0.0,0.0,0
